State,WeedName,Category,,,,,
California,Geraldton carnation weed,Euphorbia terracina L.,,,,,
California,giant chickweed,Myosoton aquaticum (L.) Moench,,,,,
California,giant foxtail,Setaria faberi Herrm.,,,,,
California,giant knotweed,Reynoutria sachalinensis F. Schmidt ex Maxim.,,,,,
California,giant ragweed,Ambrosia trifida L.,,,,,
California,giant reed,Arundo donax L.,,,,,
California,goatsrue,Galega officinalis L.,,,,,
California,gooseberry gourd,Cucumis myriocarpus E. Mey. ex Naud.,,,,,
California,gorse,Ulex europaeus L.,,,,,
California,grassleaf spurge,Euphorbia graminea Jacq.,,,,,
California,greater swinecress,Coronopus squamatus (Forsk.) Aschers.,,,,,
California,greater swinecress,Lepidium coronopus (L.) Al-Shehbaz,,,,,
California,hairy whitetop,Lepidium appelianum Al-Shehbaz,,,,,
California,"halogeton, saltlover",Halogeton glomeratus (Bieb.) C.A. Mey.,,,,,
California,heaftleaf horsenettle,Solanum cardiophyllum Lindl.,,,,,
California,heartleaf drymary,Drymaria cordata (L.) Willd. ex J.A. Schultes,,,,,
California,hoary alyssum,Berteroa incana (L.) DC,,,,,
California,hoary cress,Lepidium draba (L.) Desv,,,,,
California,hydrilla,Hydrilla verticillata (L. f.) Royle,,,,,
California,Iberian starthistle,Centaurea iberica Trev. ex Spreng,,,,,
California,Illyrian cottonthistle,Onopordum illyricum L.,,,,,
California,Indian marshweed,Limnophila indica (L.) Druce,,,,,
California,Italian plumeless thistle,Carduus pycnocephalus L.,,,,,
California,Japanese knotweed,Reynoutria japonica Sieb. & Zucc.,,,,,
California,Japanese thistle,Cirsium japonicum Fisch. ex DC.,,,,,
California,johnsongrass,Sorghum halepense (L.) Pers.,,,,,
California,jointed goatgrass,Aegilops cylindrica Host,,,,,
California,jointvetch,Aeschynomene spp.,,,,,
California,kangaroothorn,Acacia paradoxa DC.,,,,,
California,kikuyugrass,Pennisetum clandestinum Hochst. ex Chiov.,,,,,
California,klamathweed,Hypericum perforatum ssp. perforatum L.,,,,,
California,leafy spurge,Euphorbia esula L.,,,,,
California,limnophila,Limnophila sessiliflora (Vahl) Blume,,,,,
California,longleaf groundcherry,Physalis longifolia Nutt.,,,,,
California,longspine sandbur,Cenchrus longispinus (Hack.) Fern,,,,,
California,Malta starthistle,Centaurea melitensis L.,,,,,
California,Mediterranean sage,Salvia aethiopis L.,,,,,
California,Mediterranean saltwort,Salsola vermiculata L.,,,,,
California,medusahead,Taeniatherum caput-medusae (L.) Nevski,,,,,
California,melon,Cucumis melo L,,,,,
California,Mexican waterlily,Nymphaea mexicana Zucc.,,,,,
California,miramar weed,Hygrophila polysperma (Roxb.) T. Anders.,,,,,
California,mulberryweed,Fatoua villosa (Thunb.) Nakai,,,,,
California,"musk thistle, nodding thistle",Carduus nutans L.,,,,,
California,narrow leaf egeria,Egeria najas Planch.,,,,,
California,nimblewill,Muhlenbergia schreberi J.F. Gmel.,,,,,
California,onionweed,Asphodelus fistulosus Linnaeus,,,,,
California,orangeberry nightshade,Solanum lanceolatum Cav.,,,,,
California,"orbicular whitetop, lens-podded hoary cress",Lepidium chalepense L.,,,,,
California,ovate goatgrass,Aegilops geniculata Roth,,,,,
California,oxford ragwort,Senecio squalidus L.,,,,,
California,oxygen weed,Lagarosiphon major (Ridley) Moss,,,,,
California,pale biddy-biddy,Acaena pallida (T. Kirk) J. W. Dawson,,,,,
California,panicled onion,Allium paniculatum L.,,,,,
California,perennial pepperweed,Lepidium latifolium L.,,,,,
California,perennial sowthistle,Sonchus arvensis L.,,,,,
California,prickly comfrey,Symphytum asperum Lepechin,,,,,
California,primrose-willow,Ludwigia peruviana (L.) Hara,,,,,
California,punagrass,Achnatherum brachychaetum (Godr.) Barkworth,,,,,
California,puncturevine,Tribulus terrestris L.,,,,,
California,purple African nightshade,Solanum marginatum L. f.,,,,,
California,purple loosestrife,Lythrum salicaria L.,,,,,
California,purple nutsedge,Cyperus rotundus L.,,,,,
California,purple pampasgrass,Cortaderia jubata (Lem.) Stapf,,,,,
California,purple starthistle,Centaurea calcitrapa L.,,,,,
California,quackgrass,Elymus repens (L.) Gould,,,,,
California,ragweed parthenium,Parthenium hysterophorus L.,,,,,
California,ravennagrass,Saccharum ravennae L.,,,,,
California,red sesbania,Sesbania punicea (Cav.) Benth.,,,,,
California,robust horsenettle,Solanum dimidiatum Raf.,,,,,
California,rush skeletonweed,Chondrilla juncea L.,,,,,
California,Russian knapweed,Rhaponticum repens (L.) Hidalgo,,,,,
California,Russian thistle,Salsola tragus L.,,,,,
California,saltcedar,Tamarix ramosissima Ledeb.,,,,,
California,saltmeadow cordgrass,Spartina patens (Ait.) Muhl.,,,,,
California,Scotch broom,Cytisus scoparius (L.) Link,,,,,
California,Scotch thistle,Onopordum acanthium L.,,,,,
California,serrate spurge,Euphorbia serrata L.,,,,,
California,sessile joyweed,Alternanthera sessilis (L.) R. Br. ex DC.,,,,,
California,silverleaf nightshade,Solanum elaeagnifolium Cavanaugh,,,,,
California,slender falsebrome,Brachypodium sylvaticum ssp. sylvaticum (Huds.) P. Beauv.,,,,,
California,slender Russian thistle,Salsola collina Pallas,,,,,
California,slenderflower thistle,Carduus tenuiflorus W. Curtis,,,,,
California,smallflower tamarisk,Tamarix parviflora DC.,,,,,
California,smooth cordgrass,Spartina alterniflora Loisel.,,,,,
California,southern meadow sage,Salvia virgata Jacq.,,,,,
California,southern sandbur,Cenchrus echinatus L.,,,,,
California,Spanish broom,Spartium junceum L.,,,,,
California,Spanish mercury,Mercurialis ambigua L.,,,,,
California,spiny plumeless thistle,Carduus acanthoides L.,,,,,
California,spotted knapweed,Centaurea stoebe ssp. micranthos (Gugler) Hayek,,,,,
California,squarrose knapweed,Centaurea virgata Lam.,,,,,
California,star-mustard,Coincya monensis (L.) Greuter & Burdet,,,,,
California,starhair groundcherry,Physalis viscosa L.,,,,,
California,stinkwort,Dittrichia graveolens (L.) W. Greuter,,,,,
California,sulfur cinquefoil,Potentilla recta L.,,,,,
California,sulphur knapweed,Centaurea sulphurea Willd,,,,,
California,swainsonpea,Sphaerophysa salsula (Pallas) DC.,,,,,
California,swamp saltbush,Atriplex amnicola Paul G. Wilson,,,,,
California,Syrian beancaper,Zygophyllum fabago L.,,,,,
California,tanglehead,Heteropogon contortus (L.) Beauv. ex Roemer & J.A. Schultes,,,,,
California,tansy ragwort,Jacobaea vulgaris Gaertn.,,,,,
California,Texas blueweed,Helianthus ciliaris DC.,,,,,
California,tree spurge,Euphorbia dendroides L.,,,,,
California,tree-of-heaven,Ailanthus altissima (P. Mill.) Swingle,,,,,
California,turkeyberry,Solanum torvum Sw.,,,,,
California,Virginia buttonweed,Diodia virginiana L,,,,,
California,water primrose,Ludwigia grandiflora ssp. hexapetala (Hook. & Arn.) Nesom & Kartesz,,,,,
California,watersprite,Ceratopteris thalictroides (L.) Brongn.,,,,,
California,wavyleaf beeblossom,Oenothera sinuosa W.L.Wagner & Hoch,,,,,
California,wavyleaf gaura,Gaura sinuata Nutt. ex Ser,,,,,
California,wavyleaf thistle,Cirsium undulatum (Nutt.) Spreng,,,,,
California,West Indian spongeplant,Limnobium laevigatum (Humb. & Bonpl. ex Willd.) Heine,,,,,
California,white bladderflower,Araujia sericifera Brot.,,,,,
California,white garlic,Allium neapolitanum Cirillo,,,,,
