GBIFusageKey,country,prefName,state,classification,taxonLevel,family,englishName,synonyms
2703525,United States,Cynodon,New Jersey,Restricted-seed-turf,genus,Poaceae,NA,NA
NA,United States,Myriophyllum spicatum x Myriophyllum sibiricum,Montana,NA,hybrid,Haloragaceae,NA,NA
NA,United States,Myriophyllum heterophyllum x M. laxum,New York,NA,species,Haloragaceae,NA,NA
NA,United States,Linaria vulgaris x L. dalmatica,Colorado,B,hybrid,Plantaginaceae,NA,NA
NA,United States,Myriophyllum spicatum x Myriophyllum sibiricum,Washington,C,species,Haloragaceae,NA,NA
2638307,United States,Nitellopsis obtusa,Michigan,Prohibited,species,Characeae,Starry Stonewort,"Chara obtusa, Chara stelligera, Lychnothamnus stelligera, Nitellopsis stelligera"
2638307,United States,Nitellopsis obtusa,Pennsylvania,A,species,Characeae,Starry Stonewort,"Chara obtusa, Chara stelligera, Lychnothamnus stelligera, Nitellopsis stelligera"
2643172,United States,Caulerpa taxifolia,federal,NA,species,Caulerpaceae,"Caulerpa, Killer Alga, Sea Weed",Fucus taxifolius
2643172,United States,Caulerpa taxifolia,South Carolina,NA,species,Caulerpaceae,"Caulerpa, Killer Alga, Sea Weed",Fucus taxifolius
2643172,United States,Caulerpa taxifolia,Massachusetts,NA,species,Caulerpaceae,"Caulerpa, Killer Alga, Sea Weed",Fucus taxifolius
2650106,United States,Azolla pinnata,federal,NA,species,Salviniaceae,"Feathered Mosquitofern, Mosquito Fern, Ferny Azolla, Green Azolla, Water Velvet, Water-Velvet",NA
2650106,United States,Azolla pinnata,Massachusetts,NA,species,Salviniaceae,"Feathered Mosquitofern, Mosquito Fern, Ferny Azolla, Green Azolla, Water Velvet, Water-Velvet",NA
2650106,United States,Azolla pinnata,Wisconsin,Prohibited,species,Salviniaceae,"Feathered Mosquitofern, Mosquito Fern, Ferny Azolla, Green Azolla, Water Velvet, Water-Velvet",NA
2650106,United States,Azolla pinnata,South Carolina,NA,species,Salviniaceae,"Feathered Mosquitofern, Mosquito Fern, Ferny Azolla, Green Azolla, Water Velvet, Water-Velvet",NA
2650435,United States,Lygodium microphyllum,Alabama,NA,species,Lygodiaceae,"Old World Climbing Fern, Small-Leaf Climbing Fern, Climbing-Maidenhair Fern, Small Leaf Climbing Fern, Small-Leaved Climbing Fern, Snake Fern","Lygodium scandens, Lygodium scandens intermedium, Lygodium scandens microphyllum, Ophioglossum filiforme, Trichomanes cochinchinense, Ugena microphyllum"
2650435,United States,Lygodium microphyllum,Florida,NA,species,Lygodiaceae,"Old World Climbing Fern, Small-Leaf Climbing Fern, Climbing-Maidenhair Fern, Small Leaf Climbing Fern, Small-Leaved Climbing Fern, Snake Fern","Lygodium scandens, Lygodium scandens intermedium, Lygodium scandens microphyllum, Ophioglossum filiforme, Trichomanes cochinchinense, Ugena microphyllum"
2650435,United States,Lygodium microphyllum,federal,NA,species,Lygodiaceae,"Old World Climbing Fern, Small-Leaf Climbing Fern, Climbing-Maidenhair Fern, Small Leaf Climbing Fern, Small-Leaved Climbing Fern, Snake Fern","Lygodium scandens, Lygodium scandens intermedium, Lygodium scandens microphyllum, Ophioglossum filiforme, Trichomanes cochinchinense, Ugena microphyllum"
2650436,United States,Lygodium japonicum,Alabama,NA,species,Lygodiaceae,"Japanese Climbing Fern, Vine-Like Fern","Adiantum scandens, Davallia scandens, Hydroglossum dissectum, Hydroglossum japonicum, Hydroglossum microstachyum, Lygodium chaerophylloides, Lygodium chochinchinense, Lygodium cochinchinense, Lygodium dissectum, Lygodium finlaysonianum, Lygodium hazaricum, Lygodium japonicum elongata, Lygodium japonicum microstachyum, Lygodium mearnsii, Lygodium microphyllum, Lygodium microstachyum, Lygodium microstachyum glabrescens, Lygodium pubescens, Lygodium tenue, Ophioglossum japonicum"
