GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms
3171949,United States,Hawaii,REGION,,Verbascum thapsus,NA,species,Scrophulariaceae,"Aaron's-Rod, Big Taper, Blanketweed, Common Mullein, Flannel Mullein, Flannel Plant, Flannelleaf, Flannelplant, Great Mullein, Grey Mullein, Hag Taper, Mullein, Torches, Velvet Dock, Velvet Plant, Velvetplant, Wild Tobacco, Woolly Mullein","Thapsus barbatus, Verbascum bicolle, Verbascum blattaria, Verbascum indicum, Verbascum linnaei, Verbascum phlomoides, Verbascum simplex dyris, Verbascum subviride, Verbascum thapsiforme, Verbascum thapsus subviride"
3171949,United States,Colorado,REGION,,Verbascum thapsus,C,species,Scrophulariaceae,"Aaron's-Rod, Big Taper, Blanketweed, Common Mullein, Flannel Mullein, Flannel Plant, Flannelleaf, Flannelplant, Great Mullein, Grey Mullein, Hag Taper, Mullein, Torches, Velvet Dock, Velvet Plant, Velvetplant, Wild Tobacco, Woolly Mullein","Thapsus barbatus, Verbascum bicolle, Verbascum blattaria, Verbascum indicum, Verbascum linnaei, Verbascum phlomoides, Verbascum simplex dyris, Verbascum subviride, Verbascum thapsiforme, Verbascum thapsus subviride"
3171949,United States,Wyoming,REGION,,Verbascum thapsus,NA,species,Scrophulariaceae,"Aaron's-Rod, Big Taper, Blanketweed, Common Mullein, Flannel Mullein, Flannel Plant, Flannelleaf, Flannelplant, Great Mullein, Grey Mullein, Hag Taper, Mullein, Torches, Velvet Dock, Velvet Plant, Velvetplant, Wild Tobacco, Woolly Mullein","Thapsus barbatus, Verbascum bicolle, Verbascum blattaria, Verbascum indicum, Verbascum linnaei, Verbascum phlomoides, Verbascum simplex dyris, Verbascum subviride, Verbascum thapsiforme, Verbascum thapsus subviride"
3040233,United States,Connecticut,REGION,,Populus alba,NA,species,Salicaceae,"Abele, Silver Poplar, Silverleaf Poplar, White Poplar, European White Poplar, Silver-Leaf Poplar","Leuce alba, Populus acerifolia, Populus aegyptiaca, Populus alba globosa, Populus alba nivea, Populus alba pendula, Populus alba pyramidalis, Populus alba richardii, Populus alba alba, Populus alba major, Populus alba umbraculifera, Populus alba acerifolia, Populus alba bolleana, Populus alba crispa, Populus alba denudata, Populus alba hickeliana, Populus alba integrifolia, Populus alba microphylla, Populus alba nutans, Populus alba parvifolia, Populus alba salomonii, Populus alba sinuata, Populus alba subintegerrima, Populus arbeel, Populus arembergiana, Populus arembergica, Populus belgica, Populus bolleana, Populus candicans, Populus denudata, Populus excelsa, Populus grisea, Populus hickeliana, Populus hickeliana tremulifolia, Populus hopeiensis, Populus intermedia, Populus major, Populus nigra, Populus nivea, Populus nivea salomonii, Populus palmata, Populus pendula, Populus peroneana, Populus quercifolia, Populus subintegerrima, Populus subintegerrima berkanensis, Populus viminalis, Salix salomonii"
3040233,United States,Maine,REGION,,Populus alba,NA,species,Salicaceae,"Abele, Silver Poplar, Silverleaf Poplar, White Poplar, European White Poplar, Silver-Leaf Poplar","Leuce alba, Populus acerifolia, Populus aegyptiaca, Populus alba globosa, Populus alba nivea, Populus alba pendula, Populus alba pyramidalis, Populus alba richardii, Populus alba alba, Populus alba major, Populus alba umbraculifera, Populus alba acerifolia, Populus alba bolleana, Populus alba crispa, Populus alba denudata, Populus alba hickeliana, Populus alba integrifolia, Populus alba microphylla, Populus alba nutans, Populus alba parvifolia, Populus alba salomonii, Populus alba sinuata, Populus alba subintegerrima, Populus arbeel, Populus arembergiana, Populus arembergica, Populus belgica, Populus bolleana, Populus candicans, Populus denudata, Populus excelsa, Populus grisea, Populus hickeliana, Populus hickeliana tremulifolia, Populus hopeiensis, Populus intermedia, Populus major, Populus nigra, Populus nivea, Populus nivea salomonii, Populus palmata, Populus pendula, Populus peroneana, Populus quercifolia, Populus subintegerrima, Populus subintegerrima berkanensis, Populus viminalis, Salix salomonii"
3040233,United States,Wisconsin,REGION,,Populus alba,Restricted,species,Salicaceae,"Abele, Silver Poplar, Silverleaf Poplar, White Poplar, European White Poplar, Silver-Leaf Poplar","Leuce alba, Populus acerifolia, Populus aegyptiaca, Populus alba globosa, Populus alba nivea, Populus alba pendula, Populus alba pyramidalis, Populus alba richardii, Populus alba alba, Populus alba major, Populus alba umbraculifera, Populus alba acerifolia, Populus alba bolleana, Populus alba crispa, Populus alba denudata, Populus alba hickeliana, Populus alba integrifolia, Populus alba microphylla, Populus alba nutans, Populus alba parvifolia, Populus alba salomonii, Populus alba sinuata, Populus alba subintegerrima, Populus arbeel, Populus arembergiana, Populus arembergica, Populus belgica, Populus bolleana, Populus candicans, Populus denudata, Populus excelsa, Populus grisea, Populus hickeliana, Populus hickeliana tremulifolia, Populus hopeiensis, Populus intermedia, Populus major, Populus nigra, Populus nivea, Populus nivea salomonii, Populus palmata, Populus pendula, Populus peroneana, Populus quercifolia, Populus subintegerrima, Populus subintegerrima berkanensis, Populus viminalis, Salix salomonii"
3121319,United States,Washington,REGION,,Artemisia absinthium,C,species,Asteraceae,"Absinth Sagewort, Absinth Wormwood, Absinthe, Absinthe Wormwood, Absinthium, Common Sagewort, Common Wormwood, Wormwood, Wormwood [Plant], Common-Wormwood","Absinthium bipedale, Absinthium majus, Absinthium officinale, Absinthium vulgare, Artemisia absinthia, Artemisia absinthium argentea, Artemisia absinthium contracta, Artemisia absinthium absinthium, Artemisia absinthium insipida, Artemisia absinthium inspida, Artemisia arborescens rehan, Artemisia arborescens cupaniana, Artemisia baldaccii, Artemisia doonense, Artemisia inodora, Artemisia kulbadica, Artemisia pendula, Artemisia rehan, Artemisia rhaetica"
3121319,United States,South Dakota,REGION,,Artemisia absinthium,NA,species,Asteraceae,"Absinth Sagewort, Absinth Wormwood, Absinthe, Absinthe Wormwood, Absinthium, Common Sagewort, Common Wormwood, Wormwood, Wormwood [Plant], Common-Wormwood","Absinthium bipedale, Absinthium majus, Absinthium officinale, Absinthium vulgare, Artemisia absinthia, Artemisia absinthium argentea, Artemisia absinthium contracta, Artemisia absinthium absinthium, Artemisia absinthium insipida, Artemisia absinthium inspida, Artemisia arborescens rehan, Artemisia arborescens cupaniana, Artemisia baldaccii, Artemisia doonense, Artemisia inodora, Artemisia kulbadica, Artemisia pendula, Artemisia rehan, Artemisia rhaetica"
3121319,United States,Wisconsin,REGION,,Artemisia absinthium,Restricted,species,Asteraceae,"Absinth Sagewort, Absinth Wormwood, Absinthe, Absinthe Wormwood, Absinthium, Common Sagewort, Common Wormwood, Wormwood, Wormwood [Plant], Common-Wormwood","Absinthium bipedale, Absinthium majus, Absinthium officinale, Absinthium vulgare, Artemisia absinthia, Artemisia absinthium argentea, Artemisia absinthium contracta, Artemisia absinthium absinthium, Artemisia absinthium insipida, Artemisia absinthium inspida, Artemisia arborescens rehan, Artemisia arborescens cupaniana, Artemisia baldaccii, Artemisia doonense, Artemisia inodora, Artemisia kulbadica, Artemisia pendula, Artemisia rehan, Artemisia rhaetica"
3121319,United States,Colorado,REGION,,Artemisia absinthium,B,species,Asteraceae,"Absinth Sagewort, Absinth Wormwood, Absinthe, Absinthe Wormwood, Absinthium, Common Sagewort, Common Wormwood, Wormwood, Wormwood [Plant], Common-Wormwood","Absinthium bipedale, Absinthium majus, Absinthium officinale, Absinthium vulgare, Artemisia absinthia, Artemisia absinthium argentea, Artemisia absinthium contracta, Artemisia absinthium absinthium, Artemisia absinthium insipida, Artemisia absinthium inspida, Artemisia arborescens rehan, Artemisia arborescens cupaniana, Artemisia baldaccii, Artemisia doonense, Artemisia inodora, Artemisia kulbadica, Artemisia pendula, Artemisia rehan, Artemisia rhaetica"
